"","x"
"1","us.bibliographic.data.application.publication.reference1"
"2","us.bibliographic.data.application.publication.reference2"
"3","us.bibliographic.data.application.publication.reference3"
"4","us.bibliographic.data.application.publication.reference4"
"5","us.bibliographic.data.application.application.reference1"
"6","us.bibliographic.data.application.application.reference2"
"7","us.bibliographic.data.application.application.reference3"
"8","us.bibliographic.data.application.invention.title.text"
"9","us.bibliographic.data.application.us.parties.inventors1"
"10","us.bibliographic.data.application.us.parties.inventors2"
"11","us.bibliographic.data.application.us.parties.inventors.city"
"12","us.bibliographic.data.application.us.parties.inventors.country"
"13","us.bibliographic.data.application.us.parties.us.applicants.address.city"
"14","us.bibliographic.data.application.us.parties.us.applicants.address.country"
"15","us.bibliographic.data.application.us.parties.us.applicants.country"
"16","abstract1"
"17","claims.claim1"
"18","claims.claim2"
"19","claims.claim3"
"20","claims.claim4"
"21","claims.claim5"
"22","claims.claim.text"
"23","claims.claim..attrs.id"
"24","claims.claim..attrs.num"
"25","claims.claim..attrs.idref"
"26","claims..attrs.id"
"27","description.p.text"
"28","description.description.of.drawings.p.text"
"29",".attrs.file"
